broker_name,website,regulator_count,regulators,hq_country,founded_year,license_status,notes,website_enriched,research_tool_status,research_tool_vendors,research_tool_notes,research_tool_pages_checked
AvaTrade,https://www.avatrade.com,14,ASIC|CySEC|FSCA|MFSA|FSMA|ASF|BVI FSC|FMA|FSA Denmark|AFM|ADGM|CBI|KNF|CNMV,Ireland,2006,FCA: Offshore Regulation,"Forex, CFDs | Platforms: AvaTrade Mobile App, WebTrader, AvaSocial, AvaOptions, MT4, MT5, DupliTrade",YES,competitor,Trading Central,"Strong, repeated confirmation across homepage copy, nav, and footer.",https://www.avatrade.com
capital.com,https://capital.com,12,FCA|ASIC|CySEC|MFSA|ASF|SCB|FMA|FSA Denmark|AFM|FIN-FSA|KNF|CNMV,Bahamas,2016,SCB: Offshore Regulation,"Institutional, Retail | Platforms: Mobile Apps, Desktop, TradingView, MT4",YES,none-found,,No matches found despite large page (very JS-heavy SPA); rawHtml was captured but no vendor references found.,https://capital.com
DBG MARKETS,https://www.dbgmarketsglobal.com/,3,FCA|ASIC|FSCA,United Kingdom,2007,Regulated,"Institutional, Retail | Platforms: MT4, MT5",YES,competitor,Autochartist|Trading Central,"Both vendors confirmed with extensive dedicated homepage content (marketing copy embedded as translation JSON in rawHtml, not visible as plain markdown text).",https://www.dbgmarketsglobal.com/
doto,https://doto.com/,10,CySEC|FSCA|FSA Seychelles|ASF|FMA|FSA Denmark|AFM|CNMV|FIN-FSA|FSC Mauritius,United Kingdom,2000,FSA: Offshore Regulation,"Broker | Platforms: Doto App, MT4, MT5",YES,competitor,Trading Central,"Confirmed via trust-badge logo image (filename + alt text), not a dedicated tools page - lighter-weight integration/partnership badge.",https://doto.com/
easyMarkets,https://www.easymarkets.com/,11,ASIC|CySEC|FSA Seychelles|FSMA|ASF|BVI FSC|FMA|FSA Denmark|AFM|CNMV|FIN-FSA,Australia,2003,FSA: Offshore Regulation; FSC: Offshore Regulation,"Institutional, Retail | Platforms: easyMarkets Web/App, MT4, MT5, TradingView",YES,none-found,,DNS failure on listed URL confirmed per pilot; hyphenated fallback worked and no vendor mentions were found.,https://easy-markets.com/ (hyphenated fallback; www.easymarkets.com failed DNS resolution as expected per pilot notes)
Finalto,https://www.finaltotrading.com/,12,FCA|ASIC|CySEC|MFSA|FSMA|ASF|BVI FSC|FMA|FSA Denmark|AFM|KNF|CNMV,United Kingdom,2014,FSC: Suspicious Clone,"Retail, Institutional | Platforms: Rolling spot FX, CFDs on Precious Metals, Base Metals, Single Stocks, Indices, Cryptocurrencies, NDFs, Commodities",YES,none-found,,No matches found (first attempt hit an MCP session-expiry error; retry succeeded with no matches).,https://www.finaltotrading.com/
FOREX.com,https://www.forex.com/,12,FCA|ASIC|CySEC|MFSA|ASF|FMA|FSA Denmark|AFM|MAS|KNF|CIRO|CNMV,United States,2001,Regulated,"Retail, Institutional | Platforms: Web Trader, Mobile App, TradingView, MT4, MT5",YES,none-found,,No matches found.,https://www.forex.com/
Fortrade,https://www.fortrade.com/,11,FCA|ASIC|CySEC|MFSA|ASF|FMA|FSA Denmark|AFM|CNMV|FIN-FSA|CIRO,Hong Kong,2013,NBRB: Irregular,"Retail, Institutional | Platforms: Fortrader, MT4",YES,none-found,,No matches found (first attempt hit an MCP session-expiry error; retry succeeded with no matches).,https://www.fortrade.com/
FXCM,https://www.fxcm.com,11,FCA|ASIC|CySEC|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,United Kingdom,1999,Regulated,"Retail, Institutional | Platforms: Trading Station, TradingView Pro, MT4, Capitalise AI",YES,none-found,,No matches found.,https://www.fxcm.com
FxPro,https://www.fxpro.com/,11,FCA|CySEC|FSA Seychelles|MFSA|FSMA|ASF|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,United Kingdom,2006,FSA: Offshore Regulation,"Market Making MM, STP | Platforms: FxPro Mobile App, FxPro WebTrader, MT4, MT5, cTrader",YES,competitor,Trading Central,Confirmed via footer attribution superscript ('by Trading Central') on the trading-signals tool link.,https://www.fxpro.com/
GO Markets,https://www.gomarkets.com/en/,11,ASIC|CySEC|FSA Seychelles|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,Australia,2006,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5, WebTrader, cTrader, Mobile Trading",YES,none-found,,No matches found.,https://www.gomarkets.com/en/
HFM,https://www.hfm.com/,11,FCA|FSCA|FSA Seychelles|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FSC Mauritius,Cyprus,2010,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4/5, HFM Trading App",YES,autochartist,Autochartist,Confirmed via dedicated Autochartist tools page linked from nav.,https://www.hfm.com/
IC,https://www.icmarkets.sc/en/,11,ASIC|CySEC|FSA Seychelles|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,Seychelles,2007,FSA: Offshore Regulation,"Online forex and CFD brokerage | Platforms: MT4, MT5, cTrader",YES,competitor,Trading Central,Single but clear match: dedicated /trading-central page linked from homepage.,https://www.icmarkets.sc/en/
IG,https://www.ig.com/en,4,FCA|ASIC|DFSA|MAS,United Kingdom,1974,Regulated,"Market Making | Platforms: L2 dealer, ProRealTime, MT4, TradingView",YES,none-found,,No matches found despite very large page capture (rawHtml ~1M+ chars).,https://www.ig.com/en
InterStellar,https://www.fisg.com/,9,CySEC|FSCA|FSA Seychelles|FSMA|FMA|FSA Denmark|AFM|KNF|CNMV,Cyprus,2011,FSA: Offshore Regulation,"Forex and CFD Broker | Platforms: MT4, MT5",YES,none-found,,No matches found.,https://www.fisg.com/
IronFX,https://www.ironfx.co.uk/en,13,FCA|CySEC|FSCA|MFSA|FSMA|ASF|BVI FSC|FMA|FSA Denmark|AFM|FIN-FSA|KNF|CNMV,Cyprus,2010,Regulated,"Institutional, Retail | Platforms: MetaTrader 4",YES,none-found,,No matches found.,https://www.ironfx.co.uk/en
Mitrade,https://www.mitrade.com,11,ASIC|CySEC|FSCA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA|FSC Mauritius,Australia,2010,Regulated,"Institutional, Retail | Platforms: Mitrade Mobile App, Desktop, WebTrader",YES,competitor,Trading Central,Confirmed via explicit 'Trusted Partner' image alt text naming Trading Central.,https://www.mitrade.com
MONETA MARKETS,https://www.monetamarkets.com,5,FCA|FSCA|FSA Seychelles|FSRA SL|FSC Mauritius,United Kingdom,2012,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MetaTrader 5, MetaTrader 4, AppTrader, PRO Trader",YES,none-found,,No matches found.,https://www.monetamarkets.com
PU Prime,https://www.puprime.com/,4,ASIC|FSCA|FSA Seychelles|FSC Mauritius,Australia,2015,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5, PU Web Trader, PU Prime App",YES,competitor,Autochartist|Trading Central,"Autochartist is live and prominent. Trading Central integration appears to have existed (dedicated /trading-central/ URL referenced) but the nav link is now HTML-commented-out, suggesting it was deprecated/disabled but the reference lingers in source - flagged per loose-recall instructions.",https://www.puprime.com/
SBCFX,https://www.sbcfx.vip,3,ASIC|FSCA|FSA Seychelles,South Africa,2020,Regulated,"Institutional, Retail | Platforms: Forex, Precious Metals, Futures, Financial derivatives",YES,competitor,Trading Central,"Very strong integration: dedicated page, install instructions, and direct link to mt.tradingcentral.com domain.",https://www.sbcfx.vip
STARTRADER,https://www.startrader.com,4,ASIC|FSCA|FSA Seychelles|FSC Mauritius,Australia,1997,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5, Web Trader, STARTRADER APP, copy trade",YES,none-found,,No matches found.,https://www.startrader.com
Tickmill,https://www.tickmill.com/,10,FCA|CySEC|FSCA|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV,United Kingdom,2014,Regulated,"Retail, Institutional | Platforms: MT4, MT5, TradingView, Tickmill Trader",YES,acuity,Acuity Trading,"Strong, unambiguous Acuity Trading integration with dedicated tools page - explicit vendor name used, not just 'Acuity'.",https://www.tickmill.com/
TRADING 212,https://www.trading212.com/en,11,FCA|ASIC|CySEC|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,United Kingdom,2006,FSC: Exceeded,"Retail, Institutional | Platforms: Trading 212 App, Trading 212 Web Platform",YES,none-found,,No matches found.,https://www.trading212.com/en
VELOCITY TRADE,https://velocitytrade.com/,6,FCA|ASIC|FSCA|MAS|FSPR|CIRO,Australia,2007,Regulated,Institution | Platforms: Mobile app,YES,none-found,,No matches found.,https://velocitytrade.com/
XS,https://xs.com/,3,CySEC|FSCA|FSA Seychelles,Australia,2021,FSA: Offshore Regulation,"Institution | Platforms: MT4, MT5, XS Web Trader, XS Trader Mobile App",YES,none-found,,No matches found.,https://xs.com/
ACCM,https://accmfx.com/,4,FSCA|FSA Seychelles|ASIC|VFSC,Australia,2023,FSA: Offshore Regulation; VFSC: Offshore Regulation,Broker | Platforms: MT5,YES,competitor,Autochartist|Trading Central,"Both vendors confirmed - Autochartist in visible homepage marketing copy, Trading Central via footer link.",https://accmfx.com/
ACY Securities,https://acy.com,2,ASIC|FSCA,Australia,2011,Regulated,"Retail, Institutional | Platforms: ACY Trading Platform, MT4/MT5",YES,none-found,,No matches found.,https://acy.com
admiral,https://admiralmarkets.com/,10,FCA|FSA Seychelles|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV,Seychelles,2001,FSA: Offshore Regulation,"Market Making | Platforms: MT4/5, Trading App, Admirals Platform, StereoTrader",YES,none-found,,No matches found.,https://admiralmarkets.com/
amana,https://amana.app/,11,CySEC|DFSA|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|CNMV|FIN-FSA|CMA (Lebanon),United Arab Emirates,2021,Regulated,"Retail | Platforms: amana App, amana Web, MT4, MT5",YES,none-found,,No matches found.,https://amana.app/
AUS Global,https://www.ausglobaluk.com/,3,CySEC|FSCA|FSC Mauritius,Australia,2003,Regulated,"Online Brokerage | Platforms: MT4, MT5, cTrader",YES,competitor,Trading Central,"LOW CONFIDENCE / LIKELY DISABLED: the only Trading Central reference is inside an HTML comment (dead code), not a live link. Suggests a past or removed integration rather than a current one. Flagged per loose-recall instructions but should be treated as weak evidence.",https://www.ausglobaluk.com/
AXPM,https://axpmprime.com,2,ASIC|FSCA,Australia,2019,Regulated,"Institutional, Retail | Platforms: MT4",YES,none-found,,No matches found.,https://axpmprime.com
CMC MARKETS,https://www.cmcmarkets.com/en-sg/,4,FCA|ASIC|MAS|CIRO,Singapore,1989,Regulated,"Retail, Institutional | Platforms: MT4/5, CMC NextGen",YES,none-found,,No matches found (retried once after a session-expiry error on first attempt).,https://www.cmcmarkets.com/en-sg/
ColmexPRO,https://www.colmexpro.com/,10,CySEC|FSCA|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|CNMV|FIN-FSA,Cyprus,2009,Regulated,"Market Maker (MM) | Platforms: Mobile App, Web Trader, MT4",YES,unscraped,,"Scrape failed: 'All scraping engines failed to retrieve content from this URL' (bot-blocking), consistent with pilot findings. Not retried further per instructions.",https://www.colmexpro.com/
CPT Markets,https://cptmarkets.com,3,FCA|FSCA|FSC Belize,Belize,2016,FSC: Offshore Regulated,"Institutional, Retail | Platforms: MetaTrader 4, MetaTrader 5, cTrader",YES,none-found,,No matches found.,https://cptmarkets.com
CXM,https://www.cxmtrading.com/en/,3,FCA|FSA Seychelles|FSC Mauritius,Saint Vincent and the Grenadines,2021,Regulated,Forex and CFD Broker | Platforms: MT4,YES,competitor,Trading Central,Confirmed via dedicated services/trading-central page linked from nav.,https://www.cxmtrading.com/en/
ETO Markets,https://www.eto.group/english/index.html,3,ASIC|FSA Seychelles|FSC Mauritius,Seychelles,2013,Regulated,"Offshore Regulated | Platforms: MT4, MT5, ETO Markets CRM App",YES,none-found,,No matches found.,https://www.eto.group/english/index.html
FP Markets,https://www.fpmarkets.com/en-sg/,10,ASIC|CySEC|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,Australia,2005,Regulated,"Institutional, Retail | Platforms: MT4/5, TradingView, cTrader, FP Markets Trading App",YES,acuity,Acuity Trading|Autochartist|Trading Central,"NOTABLE: all three vendors present simultaneously. The Acuity Trading link is a good example of FIX #1/#2 value - the visible nav label reads only 'Intelligence' with no visible 'Acuity' text; the vendor name is recoverable only from the href slug '/acuity-trading/', which a naive visible-text search would have missed entirely.",https://www.fpmarkets.com/en-sg/
Fusion Markets,https://fusionmarkets.com,2,ASIC|FSA Seychelles,Australia,2010,FSA: Offshore Regulation,"Retail, Institutional | Platforms: MT4, MT5, cTrader, Fusion +, MAM/PAMM",YES,none-found,,No matches found.,https://fusionmarkets.com
GBE brokers,https://gbebrokers.global/,10,CySEC|FSA Seychelles|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV,Seychelles,2014,Regulated,Forex and CFD broker | Platforms: MetaTrader 5,YES,none-found,,No matches found.,https://gbebrokers.global/
GLOBAL FUTURES SERVICES,https://gfsfutures.com/,2,ASIC|FSCA,South Africa,2020,Regulated,"Institutional, Retail | Platforms: MetaTrader 4, MetaTrader 5",YES,none-found,,No matches found.,https://gfsfutures.com/
GTCFX,https://www.gtcfx.com,4,FCA|ASIC|VFSC|FSC Mauritius,United Arab Emirates,2012,VFSC: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5",YES,acuity,Acuity Trading|Autochartist,"Both Autochartist and Acuity Trading listed together as bullet-point features in embedded i18n content, not immediately visible as plain body text.",https://www.gtcfx.com
HANTEC FINANCIAL,https://www.hantec.com/,3,ASIC|FSA Seychelles|VFSC,Vanuatu,1990,FSA: Offshore Regulation; VFSC: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5",YES,competitor,Trading Central,"Confirmed via dedicated tools page. Note: distinct entity/site from 'HANTEC MARKETS' (hmarkets.com) in this same batch, which shows a different (Acuity) integration.",https://www.hantec.com/
HYCM,http://henyep.com/,2,FCA|DFSA,United Kingdom,2006,CYSEC: Revoked; CIMA: Revoked,"Institutional, Retail | Platforms: MT4, MT5",YES,none-found,,"The listed URL (henyep.com) resolves to the Henyep Group parent-holding-company corporate page (Financial Services / Direct Investment / Property business lines), not an actual HYCM retail trading storefront with tools/research pages. No vendor mentions found on this corporate page; a proper HYCM check would likely need the actual trading brand site (e.g. hycm.com), which was not in scope per the given URL.",http://henyep.com/
InteractiveBrokers,https://www.interactivebrokers.com,3,FCA|ASIC|CIRO,Hong Kong,1978,Regulated,"Retail, Institutional | Platforms: IBKR GlobalTrader, Client Portal, IBKR Desktop, IBKR Mobile, Trader Workstation, IBKR APIs",YES,none-found,,No matches found despite large page capture.,https://www.interactivebrokers.com
LMAX GROUP,https://www.lmax.com/,10,FCA|CySEC|ASF|FMA|FSA Denmark|AFM|FSPR|KNF|CNMV|FIN-FSA,United Kingdom,2010,Regulated,"Retail, Institutional | Platforms: LMAX Global, MetaTrader4",YES,none-found,,"No matches found. LMAX is an institutional FX exchange/venue, less likely to carry retail research-tool integrations.",https://www.lmax.com/
MACRO,https://www.macroglobalmarkets.com/home,3,ASIC|FSA Seychelles|FSPR,Australia,2018,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4",YES,unscraped,,DNS resolution failed for www.macroglobalmarkets.com (domain could not be resolved). No fallback domain was provided for this broker; not retried further.,https://www.macroglobalmarkets.com/home
NAGA,https://naga.com/,10,CySEC|FSA Seychelles|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,Cyprus,1996,FSA: Offshore Regulation,"Broker | Platforms: NAGA Web Trader, MetaTrader, Telegram Mini App",YES,competitor,Trading Central,"One of the strongest/most extensive Trading Central integrations found in this batch (20+ distinct mentions across hero, features, FAQ, and disclaimers).",https://naga.com/
Neex,https://www.neex.com/,2,ASIC|FSCA,Australia,2000,Regulated,"Institutional, Retail | Platforms: MetaTrader 4, MetaTrader 5",YES,none-found,,No matches found.,https://www.neex.com/
Orbex,https://www.orbex.com.cy/,11,CySEC|FSA Seychelles|MFSA|FSMA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FSC Mauritius,Cyprus,2009,FSA: Offshore Regulation,Broker | Platforms: MT4,YES,none-found,,"No matches found. Note: page displays a business-closure notice ('Orbex Ltd has decided to close our doors in the EU... last effective day of business July 15th, 2025') - site may be a wind-down/legacy page with minimal remaining content.",https://www.orbex.com.cy/
PGMarkets,https://www.pg-markets.com/en/,2,FSCA|FSA Seychelles,Australia,2015,FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5",YES,none-found,,No matches found.,https://www.pg-markets.com/en/
PLOTIO,https://en.plotioglobal-group.com/,4,ASIC|FSA Seychelles|SCB|FSRA SL,Hong Kong,2019,SCB: Offshore Regulation; FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT5, Plotio Global APP",YES,unscraped,,Page is geo-restricted: returned a 'Thank you for visiting... Plotio is currently not available in your country/region' blocking page instead of real homepage content. Could not access actual site content to check for vendor mentions.,https://en.plotioglobal-group.com/
RoboMarkets,https://www.robomarkets.com.cy/,9,CySEC|FSA Seychelles|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV,Cyprus,2012,FSA: Offshore Regulation,"European broker | Platforms: MetaTrader4, MetaTrader5, RWebTrader, RMobileTrader, R StocksTrader",YES,none-found,,No matches found.,https://www.robomarkets.com.cy/
squaredfinancial,https://www.sqfin.com/,10,CySEC|FSA Seychelles|MFSA|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA,Seychelles,2022,FSA: Offshore Regulation,"Market Making | Platforms: Mobile App, MT4, MT5",YES,unscraped,,"Scrape failed: 'All scraping engines failed to retrieve content from this URL' (bot-blocking), consistent with pilot findings. Not retried further per instructions.",https://www.sqfin.com/
Swissquote,https://www.swissquote.eu/,4,FCA|DFSA|MFSA|MAS,United Kingdom,1996,Regulated,"Retail, Institutional | Platforms: Mobile App, MT4, MT5, Money Managers",YES,none-found,,No matches found despite very large page capture (~1.2M chars rawHtml).,https://www.swissquote.eu/
Taurex,https://taurex.asia/,2,FCA|FSA Seychelles,Seychelles,2017,Seychelles FSA: Offshore Regulation,"Institution | Platforms: MetaTrader 4, MetaTrader 5, Taurex App",YES,none-found,,No matches found.,https://taurex.asia/
TMGM,https://www.tmgm.com,4,ASIC|FSA Seychelles|VFSC|FSC Mauritius,Australia,2013,VFSC: Offshore Regulation; FSA: Offshore Regulation,"Institutional, Retail | Platforms: MT4, MT5, TMGM App",YES,acuity,Acuity Trading|Trading Central,"NOTABLE FINDING: TMGM's site configuration strongly suggests a REBRAND from Trading Central to Acuity - the same internal key 'trading_central' now maps to display label 'Acuity' and URL '/acuity', while a separate 'trading_central_old' key preserves the legacy 'Trading Central' label and '/trading-central' URL. This is a clear example of the kind of evidence FIX #1 (Acuity Research Limited / 'provided by Acuity' phrasing) was designed to catch - the current live nav only shows 'Acuity' as visible text, with no visible 'Acuity Trading' full name, but the internal config data structure makes the Trading-Central-to-Acuity relationship explicit.",https://www.tmgm.com
TradeQuo,https://www.tradequo.com/,2,FSCA|FSA Seychelles,South Africa,2020,FSA: Offshore Regulation,"Broker | Platforms: MT5, MT4, TradingView",YES,none-found,,No matches found.,https://www.tradequo.com/
trust Capital,https://trustcapital.com/,10,CySEC|FSA Seychelles|ASF|FMA|FSA Denmark|AFM|KNF|CNMV|FIN-FSA|CMA (Lebanon),Seychelles,2003,CYSEC: Suspicious Clone; FSA: Offshore Regulation,"Forex, Financial Derivatives, Securities, Bonds | Platforms: MT4, MT5",YES,none-found,,No matches found (retried once after a 60s timeout on first attempt).,https://trustcapital.com/
Ultima,https://www.ultimamarkets.com/,3,FCA|FSCA|FSC Mauritius,United Kingdom,2007,Regulated,"Institutional, Retail | Platforms: MT4",YES,competitor,Trading Central,Confirmed via dedicated /trading-central/ page linked repeatedly from nav.,https://www.ultimamarkets.com/
VALUTRADES,http://www.valutrades.com/,2,FCA|FSA Seychelles,United Kingdom,2012,FSA: Offshore Regulation,"Broker | Platforms: MT4, MT5",YES,none-found,,No matches found.,http://www.valutrades.com/
vantage,https://en.vantage-markets.com/,4,ASIC|FSCA|CIMA|VFSC,Australia,2009,CIMA: Offshore Regulation; VFSC: Offshore Regulation,"Institutional, Retail | Platforms: Vantage App, MT4, MT5, TradingView, ProTrader",YES,none-found,,No matches found despite large page capture.,https://en.vantage-markets.com/
VT Markets,https://www.vtmarkets.com/,3,ASIC|FSCA|FSC Mauritius,Australia,2017,Regulated,"Institutional, Retail | Platforms: VT Markets App, MT5, MT4, TradingView, WebTrader",YES,none-found,,No matches found.,https://www.vtmarkets.com/
Windsor Brokers,https://en.windsorbrokers.eu/,10,CySEC|FSA Seychelles|MFSA|FSMA|ASF|BVI FSC|FMA|FSA Denmark|AFM|FIN-FSA,Cyprus,1988,FSC: Offshore Regulation; FSA: Offshore Regulation,"Market Making | Platforms: MT4, WebTrader",YES,none-found,,No matches found despite large page capture.,https://en.windsorbrokers.eu/
XTB,https://www.xtb.com/en,10,FCA|CySEC|MFSA|ICDX|FMA|FSA Denmark|BAPPEBTI|KNF|CNMV|FIN-FSA,United Kingdom,1995,Regulated,"Retail, Institutional | Platforms: Mobile, Desktop, Tablet",YES,none-found,,No matches found despite very large page capture (~1M chars rawHtml).,https://www.xtb.com/en
ZFX,https://www.zfx.com/en/,2,FCA|FSA Seychelles,United Kingdom,2010,FSA: Offshore Regulation,"Broker | Platforms: MT4, ZFX Trader",YES,none-found,,No matches found despite very large page capture (~1.5M chars rawHtml).,https://www.zfx.com/en/
Acetop,http://www.acetop.uk/,1,FCA,United Kingdom,2016,Regulated,Broker | Platforms: MT4,YES,none-found,,"No matches found. Small, simple site (Hugo-generated); no tools/research page in nav at all (About Us / Trading / Platform / Education / Legal only).",http://www.acetop.uk/
ActivTrades,https://www.activtrades.mu/en,2,FCA|SCB,Mauritius,2001,SCB: Offshore Regulation,"Retail, Institutional | Platforms: MT4, MT5",YES,competitor,Trading Central,"One of the strongest/most extensive Trading Central integrations in the batch, including a full explanatory FAQ section about what Trading Central is (30+ mention instances).",https://www.activtrades.mu/en
ADM,https://www.admis.com.sg/,1,FCA,Hong Kong,2010,Regulated,"Broker | Platforms: CQG, TT",YES,none-found,,No matches found.,https://www.admis.com.sg/
Aegon Asset Management,https://www.aegonam.com/,1,FCA,United Kingdom,1988,Regulated,"Institution | Platforms: Fixed Income, Real Assets, Equities, Multi-asset & Solutions Platforms",YES,none-found,,"No matches found. Aegon Asset Management is an institutional asset manager, not a retail CFD/forex broker - research-tool integrations of this kind are less applicable to this business type.",https://www.aegonam.com/
Afterprime,https://afterprime.com,7,FSA Seychelles|MFSA|ASF|AFM|KNF|CNMV|FIN-FSA,Seychelles,2018,FSA: Offshore Regulation,"Forex | Platforms: TradingView, MetaTrader 4, TraderEvolution, FIX API",YES,none-found,,No matches found.,https://afterprime.com
AIMS,https://www.aimsfx.com/,2,ASIC|BAPPEBTI,Australia,2014,Regulated,"Institutional, Retail | Platforms: MT4, MT5",YES,unscraped,,Scrape returned HTTP 503 Service Unavailable / 'ERR_CONNECTION_RESET' - site appears to be down or actively blocking automated access at time of check.,https://www.aimsfx.com/
