broker_name,broker_domain,broker_url,country_or_primary_market,relationship_status,confidence_score,trading_central_products,integration_type,evidence_summary,primary_evidence_url,primary_evidence_title,primary_evidence_date,additional_evidence_urls,first_evidence_date,most_recent_evidence_date,relationship_description,relationship_type,source_type,evidence_excerpt,broker_group,broker_brand,research_notes,date_checked
Bell Direct,belldirect.com.au,https://www.belldirect.com.au,Australia,CONFIRMED_ACTIVE,85,Strategy Builder; Daily Trading Ideas; Technical/Fundamental pattern recognition,EMAIL/NEWSLETTER,Bell Direct's own site runs a current 'Trading Central Strategy Builder' tool page and regularly-updated 'Morning Bell' posts citing Trading Central bullish/bearish signals — not just the 2020 evidence found previously.,https://belldirect.com.au/stock-filters,Stock Filters - Trading Strategy Builder Tool - Bell Direct,2020-09-08,https://belldirect.com.au/what-you-get; https://belldirect.com.au/insights/podcasts/morning-bell-26-august-5,2020-09-08,2026,Bell Direct (Australia) offered a Trading Central-powered 'Daily Trading Ideas' email as of 2020; current status unconfirmed.,PRODUCT_INTEGRATION,Broker website (dedicated page + regular content series),"""Trading Central Strategy Builder — Identify new opportunities and strategies.""",Bell Direct,Bell Direct,,2026-09-01
BMO InvestorLine,bmo.com,https://www.bmo.com,Canada,HISTORICAL,55,Recognia Value Analyzer,RESEARCH_PORTAL,A 2012 BMO newsroom press release announced that BMO InvestorLine introduced Recognia's 'Value Analyzer' tool for clients; no current confirmation was found.,https://newsroom.bmo.com/2012-10-04-BMO-InvestorLine-Value-Analyzer-Helps-Clients-Become-More-Proficient-in-Value-Investing,BMO InvestorLine Value Analyzer Helps Clients Become More Proficient in Value Investing,2012-10-04,,2012-10-04,2012-10-04,BMO InvestorLine launched a Recognia-provided 'Value Analyzer' investment tool for its online brokerage clients in 2012.,HISTORICAL_CUSTOMER,Broker press release,"""BMO InvestorLine today introduced Recognia's Value Analyzer ... Provided by Recognia, an industry leader in actionable investment research.""",BMO InvestorLine,BMO InvestorLine,No current BMO InvestorLine page confirming continued availability was found in this pass; needs a follow-up check of bmo.com's current InvestorLine tools page.,2026-09-01
CAPEX,capex.com,https://www.capex.com,Cyprus / global,CONFIRMED_ACTIVE,88,Technical analysis tools; chartist analysis,BROKER_WEB_PLATFORM,"CAPEX runs a dedicated 'Trading Central' page describing technical analysis tools for CFDs on Shares, Commodities, Indices and Forex, and lists Trading Central repeatedly across its account-types and platform pages.",https://capex.com/en/trading-central,Trading Central includes Technical Analysis Tools and chartist analysis - CAPEX.com,,https://capex.com/en/invest/platform; https://capex.com/en,,2026,CAPEX integrates Trading Central technical analysis tools across its account types and web platform.,PRODUCT_INTEGRATION,Broker website (dedicated page),"""Trading Central provides traders with a broad range of technical indicators usable with CFDs on Shares, Commodities, Indices, Forex.""",CAPEX,CAPEX,Discovered while spot-verifying the brokersome.com directory listing.,2026-09-02
CFI Financial Group,cfi.trade,https://www.cfi.trade,United Arab Emirates / MENA,CONFIRMED_ACTIVE,88,Technical analysis; Fundamental analysis; News analytics; Economic analysis,BROKER_WEB_PLATFORM,"CFI's own tools page describes Trading Central as providing 'actionable trade ideas and expert analysis' across technical, fundamental, news and economic analysis categories.",https://cfi.trade/en/tools/trading-central,Trading Central | Advanced Insights and Analysis with CFI,,https://cfi.trade/en/uae/tools/trading-central,,2026,"CFI (UAE-based multi-asset broker) integrates Trading Central's AI-powered technical, fundamental, news and economic analysis into its trading tools.",PRODUCT_INTEGRATION,Broker website (dedicated page),"""Trading Central provides actionable trade ideas and expert analysis, letting you make informed decisions faster.""",CFI Financial Group,CFI Financial Group,,2026-09-01
Charles Schwab,schwab.com,https://www.schwab.com,United States,CONFIRMED_ACTIVE,78,Recognia Technical Insight; Recognia Strategy Builder,BROKER_WEB_PLATFORM,A live Schwab.com disclosure page states that news/market-analysis sources on Schwab.com include Recognia; a 2011 trade-press article details Schwab's original integration of Recognia's Technical Insight and Strategy Builder into StreetSmart Edge.,http://content.schwab.com/web/trading/public/ditl,Day in the Life | Charles Schwab,Live 2026,https://www.waterstechnology.com/data-management/2029149/schwab-taps-recognia-for-technical-analysis,2011-02-28,2026,Schwab integrated Recognia's Technical Insight and Strategy Builder into its StreetSmart Edge platform in 2011; a current Schwab disclosure page still names Recognia among its third-party data/analysis sources.,CUSTOMER,Broker website + trade press (WatersTechnology),"""Various news and market analysis sources used on Schwab.com, including Briefing.com and Recognia, come from independent third parties.""",Charles Schwab,Charles Schwab,Manual review recommended to confirm whether StreetSmart Edge still carries the original Technical Insight/Strategy Builder modules or only news attribution remains.,2026-09-01
City Index,cityindex.co.uk,https://www.cityindex.co.uk,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists City Index as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,City Index is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""City Index"" row, 'Trading Central' column, brokersome.com comparison table.",StoneX Group Inc.,City Index,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
CM Trading (CMTrading),cmtrading.com,https://www.cmtrading.com,South Africa (Africa / global),CONFIRMED_ACTIVE,88,MetaTrader indicators; Newsletters; Technical analysis,MT5,"CMTrading's own dedicated Trading Central page describes MetaTrader indicators superimposed on the MT5 platform, available to Silver, Gold and Premium account tiers.",https://www.cmtrading.com/trading-central/,Trading Central Tools - Best Performing Broker In Africa - CMTrading,,,,2026,"CMTrading, a South African-focused CFD broker, provides Trading Central MetaTrader indicators to qualifying account tiers.",PRODUCT_INTEGRATION,Broker website (dedicated page),"""Trading Central's innovative MetaTrader indicators will help you spot new trade opportunities and potential entry/exit points.""",CM Trading (CMTrading),CM Trading (CMTrading),,2026-09-01
CMC Markets,cmcmarkets.com,https://www.cmcmarkets.com,United Kingdom (global),LIKELY_ACTIVE,70,Trade-setup identification (general mention),EDUCATIONAL_CONTENT,"A CMC Markets educational article on gold trading mentions that 'tools like Autochartist and Trading Central identify potential trade setups automatically', but no dedicated CMC product page for Trading Central was located.",https://www.cmcmarkets.com/en/commodities/how-to-trade-gold,"How to Trade Gold: Strategies, Platforms & Risks - CMC Markets",,,,2026,CMC Markets references Trading Central as one of the automated trade-setup tools available to traders in educational content.,CONTENT_PROVIDER,"Broker website (educational article, not a dedicated product page)","""Tools like Autochartist and Trading Central identify potential trade setups automatically.""",CMC Markets,CMC Markets,Only a general educational mention was found rather than a dedicated integration page — recommend checking CMC's platform/research pages directly for a firmer classification.,2026-09-01
CMS Financial,cmsfinancial.ae,https://www.cmsfinancial.ae,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists CMS Financial as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,CMS Financial is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""CMS Financial"" row, 'Trading Central' column, brokersome.com comparison table.",CMS Financial,CMS Financial,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
CMS Prime,cmsprime.com,https://www.cmsprime.com,Global (evidence found via Russian and Portuguese-language searches),CONFIRMED_ACTIVE,80,Trading Central (daily market brief / analytics),BROKER_WEB_PLATFORM,"CMS Prime's own homepage footer lists 'Trading Central' alongside 'Daily Forex Market Overview' and 'Daily Market Brief Video' as client-facing research offerings, on both its main and Arabic-language sites.",https://cmsprime.com/,CMS Prime – Trusted Forex Broker & CFD Trading Platform,,https://cmsprime.com/ar/,,2026,CMS Prime lists Trading Central among its client-facing research/analytics offerings.,PRODUCT_INTEGRATION,"Broker website (homepage, EN + AR)","""Daily Forex Market Overview · Daily Market Brief Video · Trading Central.""",CMS Prime,CMS Prime,Discovered via multilingual (Russian-query results surfaced this English/Arabic site) search sweep.,2026-09-01
CXM,cxmvn.co,https://www.cxmvn.co,Global (Vietnam-facing entity; Arabic-language evidence found),CONFIRMED_ACTIVE,78,Trading Central analytics (MT4),MT4,"CXM's own Arabic-language services page describes Trading Central as 'the trader's best friend', accessible directly via the CXM MT4 platform for qualified clients.",https://www.cxmvn.co/ar/services/trading-central/,Trading Central - CXM,,,,2026,CXM offers Trading Central analytics directly through its MT4 platform for qualified clients.,PRODUCT_INTEGRATION,Broker website (Arabic-language dedicated page),"""Trading Central هي أفضل صديق للمتداول. يمكن الوصول إلى تحليلات Trading Central بشكل مباشر باستخدام منصة تداول CXM MT4""",CXM,CXM,Discovered via multilingual (Arabic) search sweep.,2026-09-01
CXM Direct,cxm.com,https://www.cxm.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists CXM Direct as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,CXM Direct is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""CXM Direct"" row, 'Trading Central' column, brokersome.com comparison table.",CXM,CXM Direct,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
Derayah Financial,derayah.com,https://www.derayah.com,Saudi Arabia,CONFIRMED_ACTIVE,95,Technical Insight/Trading Central Analysis; MT Newswires (co-partner),BROKER_WEB_PLATFORM; MOBILE_APP,"Derayah Financial's own blog states Trading Central and MT Newswires are now available on the Derayah app, with a dedicated explainer of 'What Is Trading Central Analysis?'.",https://web.derayah.com/en/new-derayah-app/,Trading Central and MT Newswires now on Derayah App,2026-07,https://www.tradingcentral.com/blog/trading-central-announces-partnership-with-derayah-financial-offering-ai-solutions-to-saudi-investors-for-the-first-time,2026 (TC press: partnership announced offering AI solutions to Saudi investors),2026-07,Derayah Financial integrated Trading Central analysis directly into its mobile trading app for Saudi investors.,PRODUCT_INTEGRATION,Broker website (own blog),"""Trading Central and MT Newswires now on Derayah App ... Trading Central provides analysis that helps you assess a stock from different perspectives.""",Derayah Financial,Derayah Financial,Also independently announced via Trading Central's own blog as a first-time Saudi partnership.,2026-09-01
Desjardins Online Brokerage (Disnat),disnat.com,https://www.disnat.com,Canada,CONFIRMED_ACTIVE,95,Technical Insight (chart/pattern recognition); Fundamental Insight; Newsletters,BROKER_WEB_PLATFORM; EDUCATIONAL_CONTENT,"Disnat runs a dedicated 'Trading Central' benefits page describing free access to technical (chart), fundamental (value), and combined technical+fundamental analysis tools, plus a Trading Central-powered morning newsletter.",https://www.disnat.com/en/benefits/analysis-tools/trading-central,Trading Central | Desjardins Online Brokerage,Live 2026,,,2026,"Desjardins Online Brokerage (Disnat) offers Trading Central's technical and fundamental analysis tools free to all clients, plus a Trading Central-sourced daily newsletter.",PRODUCT_INTEGRATION,Broker website (dedicated product page),"""Get the edge you've been looking for with Trading Central award winning market research tools ... It's free for all Desjardins Online Brokerage clients.""",Desjardins Online Brokerage (Disnat),Desjardins Online Brokerage (Disnat),,2026-09-01
"Doo Financial (Doo Group, Singapore)",doofinancial.com.sg,https://www.doofinancial.com.sg,Singapore,LIKELY_ACTIVE,62,Professional technical-analysis tools (unspecified),UNKNOWN,"Doo Financial's (Doo Group) own corporate 'About Us' brand-history page states it 'partnered with Trading Central to create more diverse and comprehensive professional technical analysis tools', without specifying current retail availability.",https://doofinancial.com.sg/about-us/,About Us - Doo Capital Market SG Pte. Ltd.,,,,,Doo Group's Singapore entity lists a Trading Central partnership in its corporate brand-history narrative.,TECHNOLOGY_PARTNER,Broker corporate/about page,"""Partner with Trading Central to create more diverse and comprehensive professional technical analysis tools.""",Doo Group,"Doo Financial (Doo Group, Singapore)",Statement appears as a historical corporate-milestone entry rather than a current product page; Doo Group also operates the separately-confirmed 'Doo Prime' consumer brand (dooprime.com) with a live dedicated Trading Central page.,2026-09-01
Doo Prime,dooprime.com,https://www.dooprime.com,Global (incl. Africa via Doo Prime Africa),CONFIRMED_ACTIVE,88,Expert analysis / actionable trade ideas; Financial TV; Economic news,BROKER_WEB_PLATFORM,Doo Prime's own dedicated Trading Central page describes 'expert analysis and actionable trade ideas' delivered through its Trader's Menu platform feature; also promoted via Doo Prime Africa's social channels as 'your market co-pilot'.,https://www.dooprime.com/trading-central,Trading Central - D Prime,,https://www.facebook.com/dooprimeafrica/posts/meet-your-market-co-pilot-with-d-prime-trading-central-access-real-time-market-d/1007004708829941/,,2026,"Doo Prime integrates Trading Central's expert analysis, trade ideas and Financial TV into its 'Trader's Menu' platform feature.",PRODUCT_INTEGRATION,Broker website (dedicated page),"""Trading Central delivers expert analysis and actionable trade ideas, enabling faster, informed decisions.""",Doo Prime,Doo Prime,Also listed as 'DooPrime' in ForexBrokers.com's independent broker database.,2026-09-01
DriveWealth,drivewealth.com,https://www.drivewealth.com,United States (global brokerage-as-a-service infrastructure),LIKELY_ACTIVE,68,Trading Central research/analytics (unspecified suite),API; EMBEDDED_WIDGET,"Trading Central's own blog announced a 'strategic partnership' with DriveWealth, a brokerage-as-a-service infrastructure provider; no independent confirmation was found on drivewealth.com itself.",https://www.tradingcentral.com/blog/drivewealth-and-trading-central-announce-strategic-partnership,DriveWealth and Trading Central Announce Strategic Partnership,,,,,"DriveWealth, an embedded-investing/brokerage-as-a-service platform used by many consumer apps, partnered with Trading Central to embed research into client-facing apps built on its infrastructure.",DISTRIBUTION_PARTNER,Trading Central press release (own blog),"""DriveWealth, LLC, a global digital trading technology leader, announced a strategic partnership with Trading Central.""",DriveWealth,DriveWealth,"DriveWealth is B2B brokerage infrastructure, not a consumer-facing broker; flagged for manual review of scope/classification.",2026-09-01
easyMarkets,easymarkets.com,https://www.easymarkets.com,Cyprus/Marshall Islands (global),CONFIRMED_ACTIVE,84,Trading Central signals,EDUCATIONAL_CONTENT; SIGNALS,"easyMarkets' own learn-centre page explains 'How to Use Trading Central', describing signals used by investors to develop strategies and technical-analysis skills.",https://www.easy-markets.com/eu/learn-centre/understanding-analysis/how-to-use-trading-central/,How to Use Trading Central | Trading Analysis - easyMarkets,,https://www.forexbrokers.com/guides/trading-central-brokers,,2026,easyMarkets provides Trading Central signals and dedicated educational content on using them.,PRODUCT_INTEGRATION,Broker website (educational page),"""The signals given out by Trading Central are used by investors to work out their strategies and pick up the finer points of technical analysis.""",easyMarkets,easyMarkets,,2026-09-01
EBC Financial Group,ebc.com,https://www.ebc.com,United Kingdom / global (Chinese and Japanese localized evidence),CONFIRMED_ACTIVE,85,Trading Central (MT4/MT5 integration),MT4; MT5; EDUCATIONAL_CONTENT,"EBC's own Chinese-language MT4 tutorial page lists 'MT4 MT5 Trading Central Trading View' among its platform tools, and EBC runs a separate dedicated Japanese 'Trading Central usage guide' page.",https://www.ebc.com/jp/forex/trading-central/,Trading Central 使用ガイド - EBC Financial Group,,https://www.ebc.com/zh-cn/jinrong/mt4/,,2026,"EBC Financial Group integrates Trading Central into its MT4/MT5 offering, with dedicated Chinese and Japanese guide pages.",PRODUCT_INTEGRATION,Broker website (Chinese + Japanese dedicated pages),"""MT4 MT5 Trading Central Trading View. MetaTrader 4 (MT4)...""",EBC Financial Group,EBC Financial Group,Discovered via multilingual (Chinese/Japanese) search sweep; not findable via English-only queries.,2026-09-01
Elland Road,ellandroadcapital.com,https://www.ellandroadcapital.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists Elland Road as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,Elland Road is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""Elland Road"" row, 'Trading Central' column, brokersome.com comparison table.",Elland Road,Elland Road,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
Emarlado,emarlado.com,https://www.emarlado.com,Not specified by cited source (global forex/CFD broker),LIKELY_ACTIVE,68,Trading Central (unspecified product mix),UNKNOWN,brokersome.com's dedicated Trading Central broker directory lists Emarlado as offering Trading Central.,https://www.brokersome.com/forex-brokers/trading-central,Trading Central Forex Brokers - Brokersome,,,,2026,Emarlado is listed in brokersome.com's Trading Central broker directory; not yet independently corroborated on the broker's own site.,PRODUCT_INTEGRATION,Directory/comparison site (brokersome.com),"""Emarlado"" row, 'Trading Central' column, brokersome.com comparison table.",Emarlado,Emarlado,"Sourced from brokersome.com's dedicated Trading Central broker comparison table (46 brokers listed). Not individually verified on the broker's own site in this pass; brokersome.com's listing was spot-checked against 4 other entries (Fortrade, Libertex, Titan FX, CAPEX) with a 100% confirmation rate, giving reasonable but not certain confidence. Recommend direct confirmation before using in a sales-facing context.",2026-09-02
