broker_name,review_slug,review_url,scrape_status,forex_broker,offers_cfds,classification_confidence,classification_reason,regulators,legal_entities,jurisdictions,source_category,needs_review,last_checked
Axi,axitrader-review,https://brokerchooser.com/broker-reviews/axitrader-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 70 currency pairs.,Australian Securities and Investments Commission (ASIC) | Cyprus Securities and Exchange Commission (CySEC) | Dubai Financial Services Authority (DFSA) | Financial Conduct Authority (FCA) | Financial Service Authority of St. Vincent and the Grenadines (FSA),AxiCorp Financial Services Pty Ltd | AxiCorp Limited | AxiTrader Limited | Solaris EMEA Limited (Axi EU),All other countries | Australia & New Zealand | Europe | UK | United Arab Emirates,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Bankinter,bankinter-review,https://brokerchooser.com/broker-reviews/bankinter-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,National Securities Market Commission (CNMV) and Banco de España (BdE),"Bankinter, S.A.",All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Barclays,barclays-review,https://brokerchooser.com/broker-reviews/barclays-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Financial Conduct Authority (FCA),Barclays Investment Solutions Limited,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
BBVA Trader,bbva-trader-review,https://brokerchooser.com/broker-reviews/bbva-trader-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,National Securities Market Commission (CNMV) and Banco de España (BdE),Comisión Nacional del Mercado de Valores (CNMV) and Banco de España (BdE),All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
BlackBull Markets,blackbull-markets-review,https://brokerchooser.com/broker-reviews/blackbull-markets-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 80 currency pairs.,Financial Markets Authority (FMA) | Financial Services Authority (FSA),BBG Limited | Black Bull Group Limited,,FULL_REVIEW,NO,2026-09-01T15:22:18Z
BGL BNP Paribas,bnp-paribas-review,https://brokerchooser.com/broker-reviews/bnp-paribas-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Bossa,bossa-review,https://brokerchooser.com/broker-reviews/bossa-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Komisja Nadzoru Finansowego (KNF),DM BOŚ S.A.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Brokerpoint,brokerpoint-review,https://brokerchooser.com/broker-reviews/brokerpoint-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Central Bank of Ireland,"Interactive Brokers Ireland Limited (IBIE), Kaiser Global Invest GmbH",All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
bunq,bunq-review,https://brokerchooser.com/broker-reviews/bunq-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Autoriteit Financiële Markten (AFM) and De Nederlandsche Bank (DNB),bunq B.V.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
BUX,bux-review,https://brokerchooser.com/broker-reviews/bux-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Autoriteit Financiële Markten (AFM) and De Nederlandsche Bank (DNB),BUX B.V.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
CaixaBank,caixabank-review,https://brokerchooser.com/broker-reviews/caixabank-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,National Securities Market Commission (CNMV) and Banco de España (BdE),"CaixaBank, S.A.",All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Capital.com,capitalcom-review,https://brokerchooser.com/broker-reviews/capitalcom-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 147 currency pairs.,Australian Securities and Investments Commission (ASIC) | Cyprus Securities and Exchange Commission (CySEC) | Financial Conduct Authority (FCA) | Financial Sector Conduct Authority (FSCA) | Financial Services Authority Seychelles (FSA) | Securities Commission of the Bahamas (SCB) | Securities and Commodities Authority (SCA),Capital Com (UK) Limited | Capital Com Australia Pty Ltd. | Capital Com MENA Securities Trading LLC | Capital Com Online Investments Ltd | Capital Com SV Investments Limited | Capital Com South Africa (Pty) Ltd. | Capital Com Stock and CFD Investing Ltd,"All other countries | Australia | Bahamas-based entity | EU (except Belgium), Liechtenstein, Norway | Middle East (e.g. UAE) | South Africa | UK",FULL_REVIEW,NO,2026-09-01T15:22:18Z
CapTrader,captrader-review,https://brokerchooser.com/broker-reviews/captrader-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Central Bank of Ireland,"Interactive Brokers Ireland Limited (IBIE), CapTrader GmbH",All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Charles Schwab,charles-schwab-review,https://brokerchooser.com/broker-reviews/charles-schwab-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,Commodity Futures Trading Commission (CFTC) | Financial Industry Regulatory Authority (FINRA) | Hong Kong Securities and Futures Commission | Monetary Authority of Singapore (MAS) | Securities and Exchange Commission (SEC),"Charles Schwab & Co., Inc. | Charles Schwab Futures, Inc. | Charles Schwab Singapore Pte. Ltd. | Charles Schwab, Hong Kong, Ltd.","All countries – Futures accounts | Hong Kong | Singapore | UK | US and all other countries (except for UK, Hong Kong and Singapore)",FULL_REVIEW,NO,2026-09-01T15:22:18Z
Charles Stanley Direct,charles-stanley-direct-review,https://brokerchooser.com/broker-reviews/charles-stanley-direct-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
CITIC Securities,citic-securities-review,https://brokerchooser.com/broker-reviews/citic-securities-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
City Index,city-index-review,https://brokerchooser.com/broker-reviews/city-index-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 84 currency pairs.,Financial Conduct Authority (FCA),StoneX Financial Ltd.,United Kingdom,FULL_REVIEW,NO,2026-09-01T15:22:18Z
CMC Markets,cmc-markets-review,https://brokerchooser.com/broker-reviews/cmc-markets-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 330 currency pairs.,Australian Securities and Investments Commission | Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin) | Canadian Investment Regulatory Organization (CIRO) | Dubai Financial Services Authority | Financial Conduct Authority | Financial Markets Authority | Monetary Authority of Singapore,"CMC Markets Asia Pacific Pty Ltd | CMC Markets Canada Inc. | CMC Markets Germany GmbH | CMC Markets Middle East Limited | CMC Markets NZ Limited Company | CMC Markets Singapore Pte Ltd | CMC Markets UK plc, CMC Spreadbet plc (for spread betting accounts, available in the UK)",Australia | Canada | EU | Middle-East | New Zealand | Singapore | UK and countries except below,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Coinbase,coinbase-review,https://brokerchooser.com/broker-reviews/coinbase-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,"ASIC/AUSTRAC | Bermuda Monetary Authority (BMA) | CSSF / MiCA | Canadian Securities Administrators (CSA) | Cyprus Securities and Exchange Commission (CySEC) | Financial Conduct Authority (FCA) | Monetary Authority of Singapore (MAS) | SEC, FINRA, SIPC","CB Payments Ltd | Coinbase Australia Pty Ltd | Coinbase Bermuda Limited, Coinbase Bermuda Services Limited | Coinbase Canada, Inc. | Coinbase Capital Markets Corp. | Coinbase Financial Services Europe Ltd | Coinbase Luxembourg S.A. | Coinbase Singapore Pte. Ltd.",Australia | Bermuda | Canada | European Economic Area | European Union | Singapore | United Kingdom | United States,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Comdirect,comdirect-review,https://brokerchooser.com/broker-reviews/comdirect-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,Federal Financial Supervisory Authority (BaFin),Comdirect bank AG,All countries,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Consorsbank,consorsbank-review,https://brokerchooser.com/broker-reviews/consorsbank-review,SCRAPED,NO,YES,HIGH,BrokerChooser product table says forex availability is NO.,Federal Financial Supervisory Authority (BaFin),BNP Paribas SA Niederlassung Deutschland,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Davy Select,davy-select-review,https://brokerchooser.com/broker-reviews/davy-select-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Degiro,degiro-review,https://brokerchooser.com/broker-reviews/degiro-review,SCRAPE_FAILED,UNKNOWN,UNKNOWN,LOW,"Review URL was discovered, but the page scrape failed.",,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Directa,directa-review,https://brokerchooser.com/broker-reviews/directa-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Commissione Nazionale per le Società e la Borsa (CONSOB),Directa SIM S.p.A.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
E\*TRADE,e-trade-review,https://brokerchooser.com/broker-reviews/e-trade-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Easybroker,easybroker-review,https://brokerchooser.com/broker-reviews/easybroker-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Autoriteit Financiële Markten (AFM) and De Nederlandsche Bank (DNB),DMA Europe B.V.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
EasyEquities,easyequities-review,https://brokerchooser.com/broker-reviews/easyequities-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Australian Securities and Investments Commission (ASIC)\* | Financial Sector Conduct Authority (FSCA),EasyEquities Pty Ltd | First World Trader (Pty) Ltd,Rest of the world | South Africa,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Eightcap,eightcap-review,https://brokerchooser.com/broker-reviews/eightcap-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 55 currency pairs.,Australian Securities and Investments Commission (ASIC) | Cyprus Securities and Exchange Commission (CySEC) | Financial Conduct Authority (FCA) | Saint Vincent and the Grenadines Financial Services Authority (SVGFSA) | The Securities Commission of The Bahamas (SCB),CLMarkets Ltd trading as Eightcap International | Eightcap EU Ltd | Eightcap Global Ltd | Eightcap Group Ltd | Eightcap Pty Ltd,All other countries | Australia | EU | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Emirates NBD Securities,emirates-nbd-securities-review,https://brokerchooser.com/broker-reviews/emirates-nbd-securities-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Capital Market Authority (CMA),Emirates NBD Securities L.L.C.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Erste Bank Polska,erste-bank-polska-review,https://brokerchooser.com/broker-reviews/erste-bank-polska-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Komisja Nadzoru Finansowego (KNF),Erste Bank Polska S.A. — Biuro Maklerskie,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Erste Broker,erste-broker-review,https://brokerchooser.com/broker-reviews/erste-broker-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,National Bank of Hungary (MNB),Erste Befektetési Zrt.,Hungary,FULL_REVIEW,NO,2026-09-01T15:22:18Z
eToro,etoro-review,https://brokerchooser.com/broker-reviews/etoro-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 56 currency pairs.,"Australian Securities and Investments Commission (ASIC) | Cyprus Securities and Exchange Commission (CySEC) | Financial Conduct Authority (FCA) | Securities and Exchange Commission (SEC), Financial Industry Regulatory Authority (FINRA)",eToro (Europe) Ltd. | eToro (UK) Ltd. | eToro AUS Capital Ltd. | eToro USA LLC,Australia | Other countries | United Kingdom | United States,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Exness,exness-review,https://brokerchooser.com/broker-reviews/exness-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 72 currency pairs.,Capital Markets Authority (CMA) | Central Bank of Curacao and Sint Maarten (CBCS) | Cyprus Securities and Exchange Commission (CySEC) | Financial Conduct Authority (FCA) | Financial Sector Conduct Authority (FSCA) | Financial Services Authority of Seychelles (FSA) | Financial Services Commission of the British Virgin Islands (FSC) | Jordan Securities Commission (JSC) | Mauritius Financial Services Commission (FSC),Exness (Cy) Ltd | Exness (KE) Limited | Exness (MU) Ltd | Exness (SC) Ltd | Exness (UK) Ltd | Exness (VG) Ltd | Exness B.V. | Exness Limited Jordan Ltd | Exness ZA PTY Ltd,British Virgin Islands | Curacao and Sint Maarten | EEA countries | Kenya | Mauritius | Middle East | Seychelles | South Africa | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
FAB Securities,fab-securities-review,https://brokerchooser.com/broker-reviews/fab-securities-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Capital Market Authority (CMA),First Abu Dhabi Bank Securities LLC,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
FBS,fbs-review,https://brokerchooser.com/broker-reviews/fbs-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 43 currency pairs.,Australian Securities and Investments Commission (ASIC) | Cyprus Securities and Exchange Commission (CySEC) | Financial Sector Conduct Authority (FSCA) | International Financial Services Commission of Belize (IFSC),FBS Markets Inc | Financial Markets Pty Ltd | Trade Stone SA (STY) Ltd | Tradestone Ltd.,Australia | EEA | Other countries | South Africa,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Fidelity International,fidelity-international-review,https://brokerchooser.com/broker-reviews/fidelity-international-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Financial Conduct Authority (FCA),FIL Investments International,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Fidelity,fidelity-review,https://brokerchooser.com/broker-reviews/fidelity-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
finanzen.net ZERO,finanzennet-zero-review,https://brokerchooser.com/broker-reviews/finanzennet-zero-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Federal Financial Supervisory Authority (BaFin),finanzen.net zero GmbH,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Fineco Bank,fineco-bank-review,https://brokerchooser.com/broker-reviews/fineco-bank-review,SCRAPED,YES,YES,HIGH,BrokerChooser product table says forex availability is YES.,Bank of Italy | Consob,FinecoBank S.p.A.,"UK, Italy",FULL_REVIEW,NO,2026-09-01T15:22:18Z
Firstrade,firstrade-review,https://brokerchooser.com/broker-reviews/firstrade-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
flatex,flatex-review,https://brokerchooser.com/broker-reviews/flatex-review,SCRAPED,YES,NO,HIGH,BrokerChooser product table says forex availability is YES.,Federal Financial Supervisory Authority (BaFin),flatexDEGIRO Bank AG,All countries,FULL_REVIEW,NO,2026-09-01T15:22:18Z
FP Markets,fp-markets-review,https://brokerchooser.com/broker-reviews/fp-markets-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 70 currency pairs.,Australian Securities and Investments Commission (ASIC) | Cyprus Securities and Exchange Commission (CySEC) | Financial Sector Conduct Authority (South Africa) | Financial Services Authority (Seychelles) | Financial Services Authority (St. Vincent and the Grenadines) | Financial Services Commission (Mauritius),FP Markets (Pty) Ltd | FP Markets LLC | FP Markets Ltd | First Prudential Markets Limited | First Prudential Markets Ltd | First Prudential Markets Pty Ltd,Australia | EU | Rest of the world,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Freetrade,freetrade-review,https://brokerchooser.com/broker-reviews/freetrade-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Financial Conduct Authority (FCA),Freetrade Limited,All countries,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Fusion Markets,fusion-markets-review,https://brokerchooser.com/broker-reviews/fusion-markets-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 90 currency pairs.,Australian Securities and Investments Commission (ASIC) | Financial Services Authority of Seychelles (FSA) | Vanuatu Financial Services Commission (VFSC),Fusion Markets International Ltd | Gleneagle Asset Management Pty Limited | Gleneagle Securities Pty Limited,,FULL_REVIEW,NO,2026-09-01T15:22:18Z
FXCM,fxcm-review,https://brokerchooser.com/broker-reviews/fxcm-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 46 currency pairs.,ASIC | CySEC | FCA | FSCA | N/A,FXCM Australia Pty. Limited - Stratos Trading Pty. Limited | FXCM EU LTD - Stratos Europe Limited | FXCM Markets Limited - Stratos Global LLC | FXCM South Africa Pty. Limited - Stratos South Africa (Pty) Ltd | Forex Capital Markets Limited - Stratos Markets Limited,All other clients | Australia | EU | South Africa | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Fxpro,fxpro-review,https://brokerchooser.com/broker-reviews/fxpro-review,SCRAPE_FAILED,UNKNOWN,UNKNOWN,LOW,"Review URL was discovered, but the page scrape failed.",,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
FXTM,fxtm-review,https://brokerchooser.com/broker-reviews/fxtm-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 62 currency pairs.,Financial Conduct Authority (FCA) | Financial Services Commission of the Republic of Mauritius,Exinity Ltd. | Exinity UK Ltd.,International clients | United Kingdom,FULL_REVIEW,NO,2026-09-01T15:22:18Z
FXT,fxtradingcom-review,https://brokerchooser.com/broker-reviews/fxtradingcom-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 45 currency pairs.,Australian Securities and Investments Commission (ASIC) | Vanuatu Financial Services Commission (VFSC),Gleneagle Securities (Aust) Pty Ltd | Gleneagle Securities Pty Ltd,All other countries | Australia,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Global Prime,global-prime-review,https://brokerchooser.com/broker-reviews/global-prime-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 57 currency pairs.,Australian Securities and Investments Commission (ASIC) | Vanuatu Financial Services Commission (VFSC),Gleneagle Securities Pty Ltd | Global Prime Pty Ltd,Australia | Other countries,FULL_REVIEW,NO,2026-09-01T15:22:18Z
GO Markets,go-markets-review,https://brokerchooser.com/broker-reviews/go-markets-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 50 currency pairs.,Australian Securities and Investments Commission (ASIC) | Cyprus Securities and Exchange Commission (CySEC) | Financial Services Commission of Mauritius (FSC) | Seychelles Financial Services Authority (FSA),GO Markets International Ltd | GO Markets Ltd | GO Markets Pty Ltd | GO Markets Pty Ltd (MU),Australia | EU | Other eligible countries,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Halifax,halifax-review,https://brokerchooser.com/broker-reviews/halifax-review,SCRAPE_FAILED,UNKNOWN,UNKNOWN,LOW,"Review URL was discovered, but the page scrape failed.",,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Hantec Markets,hantec-markets-review,https://brokerchooser.com/broker-reviews/hantec-markets-review,SCRAPED,YES,UNKNOWN,HIGH,BrokerChooser lists 97 currency pairs.,Australian Securities and Investments Commission (ASIC) | Financial Conduct Authority (FCA) | Mauritius Financial Services Commission (FSC),Hantec Markets (Australia) Pty. Ltd. | Hantec Markets Limited | Hantec Markets Ltd.,"Australia | Global | UK, EEA",FULL_REVIEW,NO,2026-09-01T15:22:18Z
Hargreaves Lansdown,hargreaves-lansdown-review,https://brokerchooser.com/broker-reviews/hargreaves-lansdown-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Financial Conduct Authority (FCA),Hargreaves Lansdown Asset Management Limited,All clients (UK+EEA),FULL_REVIEW,NO,2026-09-01T15:22:18Z
HYCM,hycm-review,https://brokerchooser.com/broker-reviews/hycm-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 70 currency pairs.,Cayman Islands Monetary Authority (CIMA) | Cyprus Securities and Exchange Commission (Cysec) | Dubai Financial Services Authority (DFSA) | Financial Conduct Authority (FCA) | Registered in Costa Rica | Registered in St. Vincent & the Grenadines,HYCM (DIFC) Limited | HYCM (Europe) Ltd | HYCM Capital Markets (UK) Limited | HYCM Capital Markets S.R.L. | HYCM Limited | HYCM Ltd | Henyep Capital Markets (UK) Limited,EU and EEA | No clients are onboarded via this entity | Other countries | Rest of the world | UK,FULL_REVIEW,NO,2026-09-01T15:22:18Z
IC Markets,ic-markets-review,https://brokerchooser.com/broker-reviews/ic-markets-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 61 currency pairs.,Australian Securities and Investments Commission (ASIC) | Seychelles Financial Supervisory Authority (FSA),International Capital Markets Pty Ltd | Raw Trading Ltd,All other countries except EU clients | Australia,FULL_REVIEW,NO,2026-09-01T15:22:18Z
IG,ig-review,https://brokerchooser.com/broker-reviews/ig-review,SCRAPED,YES,YES,HIGH,BrokerChooser lists 98 currency pairs.,Australian Securities and Investment Commission (ASIC) | Bermuda Monetary Authority (BMA) | Commodity Futures Trading Commission (CFTC) | Dubai Financial Services Authority (DFSA) | Federal Financial Supervisory Authority (BaFin) | Financial Conduct Authority (FCA) | Financial Markets Authority (FMA) | Financial Sector Conduct Authority (FSCA) | Japanese Financial Services Authority (FSA) | Monetary Authority of Singapore (MAS) | National Futures Association (NFA) | Swiss Financial Markets Supervisory Authority (FINMA),"IG Asia Pte Ltd | IG Bank S.A. | IG Europe GmbH | IG Index Ltd\* | IG International Limited | IG Limited | IG Markets Ltd | IG Markets Ltd, Australia | IG Markets South Africa Limited | IG Securities Ltd | IG US LLC","Australia | Europe, excluding UK and Switzerland | International | Japan | New Zealand | Singapore | South Africa | Switzerland | UK | USA | United Arab Emirates",FULL_REVIEW,NO,2026-09-01T15:22:18Z
ING Direkt Depot,ing-direkt-depot-review,https://brokerchooser.com/broker-reviews/ing-direkt-depot-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Federal Financial Supervisory Authority (BaFin),ING-DiBa AG,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
ING Nederland,ing-nederland-review,https://brokerchooser.com/broker-reviews/ing-nederland-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Autoriteit Financiële Markten (AFM) and De Nederlandsche Bank (DNB),ING Bank N.V.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
ING Śląski,ing-slaski-review,https://brokerchooser.com/broker-reviews/ing-slaski-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Komisja Nadzoru Finansowego (KNF),ING Bank Śląski S.A.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
Interactive Brokers,interactive-brokers-review,https://brokerchooser.com/broker-reviews/interactive-brokers-review,SCRAPED,UNKNOWN,UNKNOWN,LOW,No conclusive forex availability field was extracted.,,,,FULL_REVIEW,YES,2026-09-01T15:22:18Z
Interactive Investor,interactive-investor-review,https://brokerchooser.com/broker-reviews/interactive-investor-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,FCA,Interactive Investor Services Ltd.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
InvestoPro,investopro-review,https://brokerchooser.com/broker-reviews/investopro-review,SCRAPED,NO,NO,HIGH,BrokerChooser product table says forex availability is NO.,Commissione Nazionale per le Società e la Borsa (CONSOB),InvestoPro SIM S.p.A.,All clients,FULL_REVIEW,NO,2026-09-01T15:22:18Z
